state,terminal,effective_date,fuel,tgp,date_downloaded
QLD,Mackay,2025-11-11,ULP,169.53,2025-11-11 06:48:21
QLD,Townsville,2025-11-11,DIESEL,179.69,2025-11-11 06:48:21
QLD,Townsville,2025-11-11,PULP95,182.54,2025-11-11 06:48:21
QLD,Townsville,2025-11-11,PULP98,189.14,2025-11-11 06:48:21
QLD,Townsville,2025-11-11,ULP,168.93,2025-11-11 06:48:21
SA,Adelaide,2025-11-11,DIESEL,177.17,2025-11-11 06:48:21
SA,Adelaide,2025-11-11,PULP95,179.41,2025-11-11 06:48:21
SA,Adelaide,2025-11-11,PULP98,185.36,2025-11-11 06:48:21
SA,Adelaide,2025-11-11,ULP,166.49,2025-11-11 06:48:21
SA,Port Bonython,2025-11-11,DIESEL,176.75,2025-11-11 06:48:21
TAS,Burnie,2025-11-11,DIESEL,179.23,2025-11-11 06:48:21
TAS,Burnie,2025-11-11,PULP95,179.93,2025-11-11 06:48:21
TAS,Burnie,2025-11-11,ULP,169.91,2025-11-11 06:48:21
TAS,Devonport,2025-11-11,DIESEL,180.41,2025-11-11 06:48:21
TAS,Devonport,2025-11-11,PULP95,181.66,2025-11-11 06:48:21
TAS,Devonport,2025-11-11,ULP,169.56,2025-11-11 06:48:21
TAS,Hobart,2025-11-11,DIESEL,180.41,2025-11-11 06:48:21
TAS,Hobart,2025-11-11,PULP95,181.52,2025-11-11 06:48:21
TAS,Hobart,2025-11-11,PULP98,190.1,2025-11-11 06:48:21
TAS,Hobart,2025-11-11,ULP,169.5,2025-11-11 06:48:21
VIC,Corio,2025-11-11,DIESEL,178.39,2025-11-11 06:48:21
VIC,Corio,2025-11-11,PULP95,179.34,2025-11-11 06:48:21
VIC,Corio,2025-11-11,PULP98,186.93,2025-11-11 06:48:21
VIC,Corio,2025-11-11,ULP,167.92,2025-11-11 06:48:21
VIC,Melbourne,2025-11-11,DIESEL,177.9,2025-11-11 06:48:21
VIC,Melbourne,2025-11-11,PULP95,179.6,2025-11-11 06:48:21
VIC,Melbourne,2025-11-11,PULP98,187.16,2025-11-11 06:48:21
VIC,Melbourne,2025-11-11,ULP,167.75,2025-11-11 06:48:21
WA,Albany,2025-11-11,DIESEL,177.58,2025-11-11 06:48:21
WA,Albany,2025-11-11,PULP95,171.93,2025-11-11 06:48:21
